"","ES_score","Gene"
"DPM1",15.8734100712421,"DPM1"
"IDS",19.3014430572572,"IDS"
"STRAP",30.782349403667,"STRAP"
"KPNA6",23.3818472611134,"KPNA6"
"SNX1",21.6971184582599,"SNX1"
"BOD1L1",30.9818901162763,"BOD1L1"
"CELF2",47.8893015089449,"CELF2"
"HEXB",22.5818154430388,"HEXB"
"TTC17",22.8352196785943,"TTC17"
"GDI2",42.2749484499288,"GDI2"
"MYO9A",11.3784595478133,"MYO9A"
"VPS35",24.5333702959208,"VPS35"
"EIF4G3",19.2777511545331,"EIF4G3"
"SART3",10.5047443964889,"SART3"
"TOP2B",23.6878691192674,"TOP2B"
"LYRM2",10.8098746689199,"LYRM2"
"YTHDC1",36.4281560886384,"YTHDC1"
"STARD7",22.4607692394934,"STARD7"
"EPS15",24.0962056697446,"EPS15"
"RPL6",70.5878246207909,"RPL6"
"MLF2",23.7472439267616,"MLF2"
"TOX4",18.7415636930751,"TOX4"
"SIRT1",8.82921704333779,"SIRT1"
"POLR2E",22.7990506531175,"POLR2E"
"CABIN1",9.4302789633105,"CABIN1"
"EIF3D",28.8441691674518,"EIF3D"
"ACIN1",26.3667566326053,"ACIN1"
"RBL2",19.9959122395488,"RBL2"
"HERC1",28.7801026885732,"HERC1"
"TBCB",23.4307446906574,"TBCB"
"HNRNPUL1",34.8208349979986,"HNRNPUL1"
"COPE",37.367992904213,"COPE"
"SSBP1",29.7179055471908,"SSBP1"
"ZNHIT1",21.5187566109365,"ZNHIT1"
"CHCHD3",12.5904786520708,"CHCHD3"
"EDF1",46.5941375485019,"EDF1"
"TNKS2",19.475162211978,"TNKS2"
"MAP3K8",23.6928274103268,"MAP3K8"
"SMC3",28.757856924834,"SMC3"
"SHOC2",22.0812765305378,"SHOC2"
"AKAP10",12.8878118367995,"AKAP10"
"PPP6R3",32.8131813117129,"PPP6R3"
"HBS1L",14.610192119937,"HBS1L"
"PRPF4B",39.3946836315354,"PRPF4B"
"IK",36.5354057047186,"IK"
"LNPEP",23.358848608854,"LNPEP"
"SMC4",16.6200115673228,"SMC4"
"CBLB",27.9890195539076,"CBLB"
"ACTR3",36.4706701439617,"ACTR3"
"POLE4",15.3790431423075,"POLE4"
"HDLBP",28.5912669113041,"HDLBP"
"CACYBP",31.5165937570321,"CACYBP"
"SFPQ",48.0531659128424,"SFPQ"
"RSRP1",45.879818579786,"RSRP1"
"MESD",20.2806212982503,"MESD"
"RPS25",78.2935008441117,"RPS25"
"HMGN3",31.3362077682933,"HMGN3"
"ITGB1BP1",17.8746003419355,"ITGB1BP1"
"FCF1",9.48097181030032,"FCF1"
"SLIRP",32.6218237916129,"SLIRP"
"RBM25",47.8870352565171,"RBM25"
"ATAD2B",14.5845990743874,"ATAD2B"
"CRIPT",12.2109639278641,"CRIPT"
"SMNDC1",13.8737631484355,"SMNDC1"
"TCP1",33.8386060179443,"TCP1"
"EPC1",28.2689322065406,"EPC1"
"UFM1",31.6231738743677,"UFM1"
"ALG5",14.8278604422018,"ALG5"
"LYPLA1",19.710710979329,"LYPLA1"
"ECD",13.3522575633892,"ECD"
"ACSL3",16.7454969459058,"ACSL3"
"SRSF6",43.277718437496,"SRSF6"
"CSE1L",13.2629826200496,"CSE1L"
"NUP85",14.0655590026481,"NUP85"
"SNRPB2",28.2377271389886,"SNRPB2"
"DYNLRB1",26.9934428206942,"DYNLRB1"
"NSRP1",27.4257970127455,"NSRP1"
"DUT",20.5635161621514,"DUT"
"TULP4",15.7817597736703,"TULP4"
"ATXN10",16.4539406979171,"ATXN10"
"COX7B",37.8725719369036,"COX7B"
"PTCD3",18.8888457379417,"PTCD3"
"POMP",43.7779604823453,"POMP"
"CSNK1G2",12.6558752680006,"CSNK1G2"
"EIF2S1",20.5666943444852,"EIF2S1"
"PUM1",22.8613189276653,"PUM1"
"COX5B",48.8434055053663,"COX5B"
"SRSF1",23.5625086996875,"SRSF1"
"ABI1",27.1040292675052,"ABI1"
"ACTR2",40.8105444204753,"ACTR2"
"FBXO11",13.3003896174929,"FBXO11"
"SEC24B",13.833510219064,"SEC24B"
"ETNK1",28.8343225931623,"ETNK1"
"NDUFA9",15.5799645848955,"NDUFA9"
"SNRPF",23.1034103603712,"SNRPF"
"MBNL2",13.3403303521288,"MBNL2"
"IQGAP1",46.6368456603804,"IQGAP1"
"UQCRC2",17.9777687331201,"UQCRC2"
"RPRD1A",7.72221759766129,"RPRD1A"
"ANAPC11",29.0696940892351,"ANAPC11"
"DCAF6",12.4647168593607,"DCAF6"
"ARF1",52.437069416599,"ARF1"
"CNIH4",18.8006243659756,"CNIH4"
"CIAO1",15.1146681437785,"CIAO1"
"SRPRB",17.5301893007505,"SRPRB"
"CENPC",24.8387569396637,"CENPC"
"NHP2",20.0533942424491,"NHP2"
"PPP4C",28.3766941070676,"PPP4C"
"CCT5",19.9087008546043,"CCT5"
"NDUFC2",33.5300310149902,"NDUFC2"
"UPF2",24.8457488951393,"UPF2"
"TIAL1",26.4204561334379,"TIAL1"
"CWF19L2",22.0339026979777,"CWF19L2"
"UQCRB",59.5763939855777,"UQCRB"
"SEC13",16.7206232028096,"SEC13"
"DYRK1A",16.4358521593938,"DYRK1A"
"MRPL10",11.2003817470781,"MRPL10"
"UBE2Z",15.2759873500065,"UBE2Z"
"ADIPOR1",27.7626146955502,"ADIPOR1"
"PSMB4",44.3548360319408,"PSMB4"
"ADAR",31.8594543359591,"ADAR"
"SRSF2",47.2484638352723,"SRSF2"
