"","ES_score"
"Aaas",17.6880012263363
"Aatf",21.1880285982357
"Abcb7",14.7118859552751
"Abr",15.4797828479491
"Acadl",57.1441318096451
"Acadvl",23.5281818893922
"Acbd3",45.1126732697396
"Acly",40.1375246283668
"Aco1",20.8815092050081
"Acox1",33.0080898053668
"Actn4",68.7537698027448
"Actr8",24.2814172539452
"Adam15",34.7317874376089
"Adam17",30.1993585135554
"Adar",29.5811169550713
"Adipor2",36.2796219033184
"Adk",42.2151510065115
"Adsl",33.0462191741485
"Aff4",55.5228423237732
"Aga",18.0759025420205
"Agtpbp1",16.1218884088821
"Ahctf1",37.7109488950907
"Ahcy",28.8140377194674
"Akt1",56.4748615862035
"Akt2",37.3905652137156
"Anapc2",47.6467337969868
"Anapc4",28.5412365438261
"Ankrd11",70.075030629276
"Anxa7",52.759875738211
"Ap1g1",30.5913768976766
"Ap1m1",42.596175940693
"Ap2m1",81.7763131197926
"Apc",41.7143932113904
"Aph1a",52.4539784266369
"Aprt",48.2666687392384
"Araf",47.8251271036531
"Arf6",74.9165522649113
"Arfrp1",32.0268413520671
"Arhgap5",41.503946760195
"Arhgdia",87.1198026708814
"Arl3",37.1059579773026
"Arl4a",42.9125765680765
"Arnt",31.9555482227649
"Asah1",53.3054628465898
"Ascc2",16.2401889009494
"Asf1a",29.402066062722
"Asl",15.432364760448
"Asph",33.3093099681493
"Ate1",34.553583224392
"Atf1",35.0898071886783
"Atf2",33.0611782567006
"Atf4",37.3469575408614
"Atg3",52.9883160487169
"Atg5",29.6077813197684
"Atg7",23.0796787844566
"Atox1",73.4152518375564
"Atp2a2",30.562008282941
"Atp2b1",59.5599540403812
"Atp5b",93.4450623832887
"Atp5e",87.4344900150352
"Atp6v0a1",17.7817868496786
"Atp6v1b2",44.2949444674907
"Atp6v1d",52.3735551066345
"Atrx",66.7939198915742
"Atxn10",61.4141514100329
"Atxn2",33.5358251901738
"Atxn7",23.7933524237185
"B4galt1",64.5433637349367
"Bad",34.4848083791921
"Bag1",67.7591088989149
"Bax",51.7158836994569
"Bcl10",49.5988225992497
"Bcl2l1",39.7826489239062
"Bclaf1",62.4427213561664
"Becn1",47.6121380072927
"Bin1",34.8388254361794
"Birc6",77.444562344177
"Blmh",40.9854346449223
"Bloc1s2",32.605299150886
"Bms1",23.068801275311
"Braf",34.4023335105291
"Brd4",66.9959457342135
"Bsg",86.6229592350437
"Btf3",85.8730725485251
"Btrc",21.9930555602255
"Bub3",55.5956562912825
"Calr",89.5860281326002
"Caml",26.0640446661908
"Canx",92.9263919361056
"Capn7",24.9604924045678
"Capns1",65.097524908396
"Cask",25.5186335018321
"Cbfb",36.7429736972279
"Ccnd3",58.4037446324277
"Ccs",29.9809739136679
"Cdc123",47.2233163291256
"Cdc26",41.5192345032821
"Cdc42",94.4083642855213
"Cdipt",44.6416533022623
"Cdk2",21.701152509574
"Cdk4",59.6423269356769
"Cdk5",23.0842881726746
"Cdk8",21.0352043401962
"Cdk9",45.5264499571149
"Cdkn2d",23.8699745091457
"Cds2",37.4502355447933
"Cebpg",50.7682287553335
"Cenpb",51.8753407021085
"Cep164",19.7782027597873
"Cfl1",96.2618857375856
"Chd1",47.3240577447835
"Chd4",66.7251407859792
"Chmp3",58.6560144252922
"Chmp5",57.4049409597246
"Chmp6",27.4978831471729
"Chpt1",28.8802410380787
"Chuk",24.7095665460221
"Ciapin1",26.7466645247991
"Cinp",24.8189762496497
"Cited2",43.1094576432774
"Clcn3",37.6382212123986
